Image,Wave Energy Level,Irregularities Level,Signal Entropy Level,Skewness Level,Kurtosis Level,Smoothness Level,Average Amplitude Level
V01HE02.png,Medium,Low,High,Low,Medium,Medium,Medium
V01HE03.png,Medium,High,High,High,Low,Medium,Medium
V02HE02.png,High,Low,High,Low,Low,Low,Low
V02HE03.png,High,Low,Medium,Medium,Low,Low,Low
V03HE2.png,Medium,Low,High,Low,Low,Medium,Low
V03HE3.png,High,Low,Low,Low,High,Low,Low
V04HE02.png,Low,Medium,Low,High,High,High,Medium
V04HE03.png,Low,Medium,Low,High,Medium,Medium,Medium
V05HE02.png,Low,High,Low,High,High,Low,Low
V05HE03.png,Low,Low,Medium,Medium,Medium,High,High
V06HE02.png,Medium,High,Low,Low,Medium,High,High
V06HE03.png,Medium,Low,Low,Low,Medium,High,Medium
V07HE02.png,Medium,Low,High,Medium,Low,Medium,Medium
V07HE03.png,High,Medium,Medium,High,High,Low,Low
V08HE02.png,Low,High,Medium,High,Low,High,High
V08HE03.png,Low,Low,High,Medium,Medium,High,High
V09HE02.png,Low,High,Low,High,High,High,High
V09HE03.png,Low,Low,High,High,Low,High,Medium
V10HE02.png,Low,Low,Low,Medium,Medium,High,High
V10HE03.png,Medium,Medium,High,Low,Low,Medium,Medium
V11HE02.png,Low,Medium,Low,High,High,High,Medium
V11HE03.png,High,Medium,Low,High,Low,Low,Low
V12HE01.png,Medium,Low,High,Medium,Low,Medium,Medium
V12HE02.png,High,Medium,Medium,High,Low,Low,Low
V12HE03.png,Medium,High,High,Medium,Low,Medium,Medium
V55HE01.png,Low,Low,High,Medium,Low,High,High
V55HE02.png,Low,Low,High,High,Medium,High,High
V55HE03.png,Medium,Low,Medium,Low,Medium,Medium,Medium
V55HE04.png,Medium,Low,High,Medium,Medium,Medium,Medium
V55HE05.png,Low,Low,High,Low,High,High,High
V55HE06.png,Low,Low,Low,Low,High,High,High
V55HE07.png,Low,Low,Low,High,High,Medium,Medium
V55HE08.png,High,Low,Medium,Low,High,Low,Low
V55HE09.png,High,Low,High,Medium,Low,Low,Low
V55HE10.png,Medium,Low,High,Medium,Medium,Medium,Medium
V55HE11.png,Low,Low,Low,Medium,Low,High,High
V01PE02.png,Medium,Low,Medium,High,High,Medium,Low
V01PE03.png,Medium,Medium,Low,High,High,Low,Low
V02PE02.png,High,High,Low,High,High,Low,Low
V02PE03.png,High,Medium,Low,Low,High,Low,Low
V03PE02.png,Medium,Low,High,Low,Low,Medium,Medium
V03PE03.png,Medium,Medium,Low,Low,High,High,Medium
V03PE05.png,High,Low,Low,Low,High,Medium,Medium
V03PE06.png,High,Low,Medium,Low,Low,Medium,Medium
V03PE08.png,Low,Low,Low,Low,Medium,High,High
V03PE09.png,High,Medium,Medium,Medium,Low,Low,Low
V04PE02.png,High,Medium,High,High,Low,Low,Low
V04PE03.png,High,Low,Medium,High,Low,Low,Low
V05PE02.png,High,High,High,Medium,Low,Low,Low
V05PE03.png,High,High,Low,Low,Low,Low,Low
V06PE02.png,Low,High,Medium,High,High,Medium,Medium
V06PE03.png,Low,Medium,Medium,Low,Medium,High,High
V07PE02.png,Low,High,Low,High,Low,High,High
V07PE03.png,Medium,Medium,Low,Low,High,Medium,Medium
V08PE02.png,High,Low,Medium,Low,Low,Low,Low
V08PE03.png,Medium,High,High,Medium,Medium,Low,Low
V09PE02.png,High,Low,Medium,Low,Low,Low,Low
V09PE03.png,Medium,Medium,Low,Low,High,Medium,Medium
V10PE01.png,Low,Low,Low,High,Medium,High,High
V10PE02.png,Medium,Medium,Low,Low,Medium,High,High
V11PE01.png,Medium,Medium,Low,Medium,Low,Medium,Medium
V11PE02.png,High,Medium,Low,High,Low,Low,Low
V12PE01.png,Low,Medium,Low,Low,High,High,High
V12PE02.png,Medium,High,High,Low,High,Medium,Medium
V12PE03.png,High,Low,High,Medium,Low,Low,Low
V13PE01.png,Low,High,High,Medium,Low,High,High
V13PE02.png,Low,Low,High,Medium,Medium,High,High
V13PE03.png,Medium,High,High,Medium,Low,High,Medium
V14PE01.png,Low,Low,Low,High,High,Low,Low
V14PE02.png,High,Low,Low,Low,Low,Low,Low
V15PE02.png,High,Low,High,Medium,Low,Low,Low
V15PE03.png,High,Low,High,Medium,Low,Low,Low
