Feature,Set,A,B,C
Wave Energy,Low,917.76513630379,1034.343285894495,1211.0380552765218
Wave Energy,Medium,1169.0176296766037,1287.4899693559178,1416.875959904765
Wave Energy,High,1359.8150920159414,1592.945927964651,3519.630422222045
Irregularities,Low,246.0,251.0,252.0
Irregularities,Medium,252.0,253.0,254.0
Irregularities,High,253.0,254.0,255.0
Signal Entropy,Low,2.24911900230357,2.2726569832862475,2.284136611314682
Signal Entropy,Medium,2.2824547637213644,2.286809168181721,2.2899271416736173
Signal Entropy,High,2.2888328206100876,2.293290085342851,2.299412683644218
Skewness,Low,-0.3576205459265416,-0.0803221598801284,-0.017587413765510252
Skewness,Medium,-0.031371039058901956,0.0145806021434221,0.06529206465535525
Skewness,High,0.04516345893953671,0.1202520955510234,0.4303929133951174
Kurtosis,Low,-1.3002230395729584,-1.1911838335912097,-1.131120135829601
Kurtosis,Medium,-1.1465141708671065,-1.1067639255219912,-1.0548244620916096
Kurtosis,High,-1.0753866192557657,-0.9888122340321976,-0.8359328582830594
Smoothness,Low,0.0198223519133881,0.049614166968865,0.05743105421319114
Smoothness,Medium,0.05611928282511894,0.0602593363605235,0.06468253561158044
Smoothness,High,0.06305456311071216,0.06970818283750911,0.0767551569537945
Irregularities,Low,246.0,251.0,252.0
Irregularities,Medium,252.0,253.0,254.0
Irregularities,High,253.0,254.0,255.0
Average Amplitude,Low,0.0202316724849254,0.0531583935639439,0.0640416266763158
Average Amplitude,Medium,0.06213356581215186,0.0677304085546884,0.07245482353144594
Average Amplitude,High,0.07100672258110781,0.07762191941107753,0.0837730870712401
