SegmentLength,SegmentTime,Speed,AveragePressure
2430.6155,45.15713,60.257587,815.54816
2374.4822,31.880335,82.909935,836.88684
2221.7083,23.011385,84.37558,791.4133
2377.64,51.23209,40.738487,739.27594
2135.6868,17.026247,133.11455,914.4948
2489.545,60.964092,47.13303,890.9323
2397.4243,32.705166,81.07265,843.99927
2134.6963,16.243532,129.5432,923.71136
2595.1436,47.061558,64.15559,945.0232
2182.9326,18.681585,131.71167,870.7839
2137.3242,17.448074,126.461754,917.8427
2378.5073,23.039003,105.75869,883.3755
2196.213,25.917593,94.85912,487.32184
2367.831,43.39283,52.11934,774.718
2301.7605,25.287798,86.22576,818.1016
2400.5269,47.098553,52.010166,828.971
2431.2312,30.805122,74.28132,803.89856
2026.0592,5.7989235,207.72876,366.01813
2445.9888,37.356262,65.31244,826.17834
2535.9517,41.78323,59.184998,909.04236
2145.5786,17.631258,121.05758,763.93713
2354.0789,51.51,44.947277,653.66907
2321.688,23.991112,89.86241,870.7169
2331.907,28.257618,73.62761,810.55597
2182.5466,17.950613,119.82103,864.2849
2321.5989,31.257622,80.67082,860.3134
2162.5793,17.655388,117.63594,586.8168
2216.7786,24.803066,95.64113,882.2833
2220.4429,19.455963,106.942215,894.88855
2516.8137,61.310352,44.422314,876.38464
2279.542,41.076805,53.50993,605.25
2724.92,34.79592,77.51235,916.38824
2188.1392,18.563383,116.617,906.1625
2228.567,19.652039,115.59403,891.5358
2186.7947,20.797216,99.08429,878.913
2215.58,21.012941,110.4405,882.9365
2183.1274,20.396788,98.15736,817.2432
2375.8755,45.54518,44.869423,705.4704
2309.9001,43.046345,54.042133,584.0407
2205.7258,24.235004,89.27069,651.1224
2367.1753,28.183933,94.83033,836.48254
2195.0935,20.94759,106.12584,873.5224
2487.2356,46.11567,51.894897,853.95386
2106.7185,14.495174,148.69286,955.1034
2288.2747,30.320274,74.26646,834.2274
2446.1216,49.89694,52.5186,804.9944
2213.1326,22.263548,103.47755,813.2674
2324.8467,38.351685,59.235413,731.044
2205.0771,17.495405,123.72386,949.35834
2207.863,24.117449,92.58095,617.45654
2247.0906,22.880272,96.9745,872.4913
2127.689,14.812711,139.78168,939.7646
2475.2556,42.17051,56.760693,831.5919
2132.4102,15.539709,148.23227,765.0007
2495.4482,30.975073,81.14492,827.52167
2278.8137,25.066645,94.01998,871.8218
2202.9185,21.673471,103.733154,707.9994
2630.2449,43.855064,60.046356,920.98267
2386.937,43.767612,47.841564,745.68805
2151.6348,18.940798,125.34286,931.54675
1970.8557,8.192488,188.29037,444.1995
2388.718,46.21257,50.436733,815.0952
2175.0293,18.31847,119.216965,910.8572
2155.3467,18.28594,131.34883,844.1153
2128.2583,16.337683,133.05197,935.43713
2137.0244,18.446342,128.71898,889.9152
2205.9385,29.637997,97.87326,469.54422
2406.7246,26.788277,80.024216,843.348
2146.1638,17.303349,125.74585,926.8175
2451.9116,33.425022,56.77046,780.76697
2257.4707,24.13548,100.60349,881.5274
2330.5298,32.80091,67.5268,809.4322
2099.1177,15.906173,151.61198,732.859
2419.8276,23.526222,92.85639,855.744
2217.5796,31.726484,81.90467,491.66357
2469.048,24.874222,91.96593,852.9394
2536.445,47.712044,46.222607,866.17584
2236.3167,29.428713,85.43138,720.24475
2379.9038,48.782364,51.554783,703.8837
2330.812,48.06893,42.807346,681.94617
2155.6797,20.2377,104.38033,607.4377
2276.4924,33.523853,70.22847,660.4938
2088.1782,13.5796795,155.85577,612.3103
2295.6985,43.747543,60.38088,499.22992
2130.801,17.765429,143.97754,804.18787
