SegmentLength,SegmentTime,Speed,AveragePressure
2129.4277,16.645384,131.91708,903.73987
2379.0872,54.278675,40.596397,811.21765
2187.5977,18.780596,114.748024,866.99664
2089.9731,16.186087,147.02127,527.3612
2235.9678,32.643177,73.723976,533.55334
2199.1172,21.338482,106.00432,866.19806
2395.4946,37.283497,71.29184,896.62427
2198.8542,23.151184,95.0703,803.85333
2212.8716,23.08196,96.29853,864.939
2091.9023,13.367178,149.01855,497.84427
2326.973,34.266983,76.5056,878.77185
2074.304,14.114362,148.0703,490.4007
2112.7915,17.88236,126.2606,488.8466
2376.5698,56.286884,36.743202,798.7459
2225.9038,22.96444,99.292786,854.37604
2197.56,21.452099,105.74311,864.02057
2118.408,13.439887,140.58801,936.23615
2156.3835,18.081211,124.06446,897.19525
2492.8496,44.204876,55.53663,867.8585
2162.4563,18.135845,114.35324,889.4404
2195.3328,21.246689,107.330765,854.3654
2218.5974,22.482054,100.536835,859.63934
2174.744,19.086973,119.98529,669.94434
2197.0706,20.182835,109.81633,863.16174
2247.7556,23.813583,97.79282,901.9403
2407.8918,46.981747,51.22825,808.8808
2140.9146,20.495491,109.48354,479.1807
2186.0815,19.542007,113.389694,865.66504
2071.8435,12.378293,155.10329,501.2866
2385.93,52.013573,46.080677,817.7942
2408.0334,49.18831,44.79091,832.07825
2134.964,18.811394,113.02311,560.24786
2543.921,36.866405,66.173706,865.7689
2160.8823,18.792511,115.32342,589.71075
2195.1184,18.64043,109.43054,892.7988
2180.4963,23.062069,103.6753,559.1765
2241.8792,23.573917,91.00447,886.0984
2145.8462,18.000217,131.39162,909.8339
2211.0215,20.929285,101.99919,671.79504
2239.0122,22.939066,95.70457,863.49365
2444.5667,25.999321,88.16614,832.5126
2216.151,23.115698,91.42067,828.53796
2230.2617,22.130611,96.572556,868.10016
2203.5203,25.846947,84.96804,564.0003
2188.9863,20.555387,108.73233,866.39844
2048.6414,10.897965,171.44583,995.8859
2121.57,19.590717,127.98546,616.2835
2111.5518,18.303347,116.29865,666.74677
1919.697,3.1202319,262.0157,514.9012
2063.7954,11.684248,151.15259,946.4693
2468.115,49.810303,46.895176,891.998
2433.4395,27.33239,90.37398,835.00574
2174.9226,20.290533,107.494095,516.7978
2232.1658,27.913244,80.548454,496.4381
2119.5215,17.214504,134.56834,887.35516
2200.3142,21.03938,98.17496,876.3528
2228.1128,23.37834,92.14589,880.0126
2193.9956,19.877153,112.29173,876.68176
2168.582,19.130053,111.819916,575.61127
2237.6738,26.683174,95.195694,902.7171
2184.3892,19.333662,116.45114,881.9648
2114.6362,16.795412,154.85274,564.12866
2174.1091,17.512728,121.37294,881.1704
2463.5103,44.111046,58.42862,899.75903
2188.5447,19.4985,112.19956,877.68604
2236.6074,22.19816,98.22197,863.187
2231.954,22.803717,96.73694,864.98236
2173.7754,16.715197,118.92218,906.11163
2160.3782,18.755198,116.50382,877.82196
2283.4993,24.815536,94.515274,884.0552
2177.0962,21.071987,102.55063,836.5415
2158.0576,17.977879,127.104034,889.47064
2156.4336,19.22125,119.16408,889.94165
2269.9888,25.174265,93.27829,882.3317
2020.29,7.9509487,215.8849,545.7668
2159.6306,18.523857,110.61437,596.4428
2292.5183,40.452457,56.595085,578.25635
2441.1768,35.211296,73.16913,891.5799
2425.095,30.860622,80.10235,851.47766
2231.6375,22.85969,97.264656,900.38446
2251.6226,23.164597,90.36788,854.10944
2156.673,16.59649,123.38521,890.32556
2183.221,18.130766,118.085976,886.4926
2368.6064,53.104008,38.010956,727.4092
2222.8584,23.821161,97.35749,877.78937
2099.8975,14.669277,153.9039,555.1731
2176.0835,18.988445,112.9149,871.4445
2327.0615,44.200336,51.80053,630.84247
2192.073,18.12059,112.92704,869.42224
2204.8635,21.413439,104.90239,862.22974
2523.7087,39.701263,63.802845,861.1
2148.809,21.562859,106.355484,480.0732
2149.2942,19.483837,123.964134,561.4184
2178.234,24.30271,104.44311,515.2944
2152.0325,19.099972,109.8907,722.93774
2541.8425,38.775772,64.42703,868.57056
2145.4846,19.831686,104.73433,503.47028
2205.1096,20.814922,106.89604,853.82806
2459.9097,25.317955,91.45355,853.39624
2097.884,14.658695,151.03725,522.62537
2334.2993,21.333643,101.63197,845.56793
2173.6614,22.740171,97.393265,490.60452
2223.8848,24.473938,91.44157,879.19916
2068.8174,13.180998,157.92313,970.88416
2077.6575,13.389349,155.1846,499.49606
2301.0842,44.715412,51.256744,605.22687
2122.3604,17.033945,132.13182,911.28217
2106.6094,14.662065,150.21039,525.4229
2074.5195,13.342362,154.88138,951.1725
2211.2664,21.308107,102.0575,859.63367
2628.9602,26.041422,84.260765,819.9969
2196.0557,19.394327,111.978355,868.71497
2147.8564,16.841867,127.48323,903.1581
2195.2375,20.601858,106.15023,864.4442
2134.2927,14.836505,136.04,916.1928
2272.149,21.93768,90.707664,752.95374
2165.3271,19.654902,109.30148,696.0577
2306.9646,36.473522,71.441635,581.34314
2609.3762,29.630766,81.43661,827.4845
2286.299,32.218624,73.495995,854.4794
2405.9531,52.035656,44.901257,806.7727
2205.6636,20.882153,96.16427,865.09436
2160.9885,16.350721,126.69422,902.1042
2212.6594,26.9357,77.233406,764.07166
2122.9172,18.357899,122.39839,485.96295
2469.4753,42.319065,65.84964,858.10614
2201.2742,20.691593,109.43322,860.71985
2109.6086,17.643583,156.74257,550.9043
2212.5698,22.215075,97.665955,861.2091
2498.0422,42.526123,60.252964,869.4207
2109.6165,14.681863,150.3631,498.14883
2219.7942,20.391497,103.30865,876.11816
2141.7979,17.709557,132.37532,902.3372
2266.235,22.355173,97.26207,864.6961
2160.7754,19.055471,115.324776,680.95917
2472.8345,37.476223,68.31097,858.9626
2526.2905,37.799484,68.938065,851.9308
2330.691,50.46987,43.77016,668.6244
2420.9126,49.582054,46.765244,789.43
2177.4102,19.617903,96.70604,810.4356
2114.1172,16.910515,129.90782,513.01306
2360.8945,37.8399,65.22295,764.9697
2466.838,44.445465,55.185577,849.68054
2171.7542,18.780779,112.72906,893.4831
2165.3545,18.02092,120.94169,882.58966
2155.8354,24.124886,94.93756,488.29984
2430.9333,47.39277,52.309902,818.7922
2449.7559,43.64921,56.388382,833.9466
2471.7864,37.30018,69.34849,880.0864
2184.347,21.15246,94.99838,775.4333
2187.7322,19.869446,113.27125,877.01294
2227.1382,20.82452,101.19794,869.9731
2215.9475,19.25907,115.76651,863.35297
2052.376,11.82942,170.56049,984.26074
2203.0447,19.533062,107.423615,890.28046
2221.5024,20.46336,103.998955,877.2469
2129.6306,16.113989,137.40335,912.9203
2179.77,21.03325,95.77468,702.8415
2172.7117,19.344772,120.43522,881.9011
2181.2407,20.597084,102.70559,882.3887
2214.07,21.691574,98.88605,846.5847
2115.208,17.497658,136.89919,541.7759
2374.2234,53.393753,40.030174,803.3384
2567.9236,38.095707,64.09831,856.28253
2090.1812,12.553253,163.88475,506.6891
2179.715,19.144524,115.15797,865.03613
2581.0251,31.506561,76.69723,841.97876
2215.9326,23.56214,94.50697,855.6881
2548.425,36.2382,68.2229,882.926
2078.662,12.16662,160.22633,964.774
2218.4927,20.488342,105.94581,886.44257
2450.9858,47.855885,49.543804,850.5207
2589.1587,34.074654,73.87493,854.59485
2068.188,9.603905,192.82555,523.4251
2136.0134,21.135496,117.39958,505.70734
2334.6904,45.37262,53.386665,653.4391
2355.6345,56.779713,35.827927,727.15155
2100.639,15.817164,139.51373,500.21414
2081.646,13.956921,148.2965,942.81244
2238.2368,33.746685,73.810844,549.03705
2143.7917,20.205915,112.59472,466.73044
2173.0544,20.389128,113.225876,735.4615
2351.429,55.56595,35.68374,705.31635
2340.858,24.099754,96.88775,875.54297
2156.0273,16.749704,123.77732,895.2862
2152.9617,18.735828,118.424385,547.0141
2187.4658,19.547926,112.42352,866.2516
2128.131,15.985621,143.39864,516.8922
2208.4878,23.092438,95.52788,863.86084
2210.3635,20.526228,113.984726,755.54004
2116.8013,17.622328,134.81207,878.2284
2176.7107,21.804537,95.61489,806.8119
2160.5723,20.96104,109.61606,488.04733
2223.6326,28.91199,81.112656,550.19574
2130.0132,17.67481,129.55779,568.61304
2520.6187,42.473152,59.213722,888.57526
1933.6796,2.9871771,258.13303,553.1321
2162.5166,22.445751,101.02538,475.37204
2082.3706,14.208025,160.41624,971.56366
2361.2166,26.97725,87.74183,873.0351
2208.0237,26.960068,88.170616,527.7326
2260.2065,24.564835,95.0316,859.71643
2542.5952,36.538723,70.15779,858.1405
2369.088,55.32821,38.398422,806.8198
2163.6548,19.846651,111.35333,494.15143
2092.8035,16.616238,135.32056,499.9388
2213.4387,21.874384,103.59833,861.3083
2158.8708,21.269587,105.76749,672.44806
2461.9524,49.791176,43.42686,852.0985
2177.064,17.448984,120.21347,881.1456
2266.026,37.800846,59.79445,551.11115
2140.8718,16.319002,126.19807,922.63354
2335.41,31.96539,79.3944,885.0145
2470.256,34.18673,71.16566,701.16205
2415.7588,53.283146,40.35178,810.406
2391.5393,56.95508,36.00242,812.6229
2113.636,14.802615,147.05605,931.63544
2518.2385,39.3991,63.18142,844.7068
2196.7092,21.13267,104.57798,856.93097
2169.6555,18.487514,120.68691,870.0924
2251.7698,35.447044,66.21413,541.5659
2186.332,19.04912,110.6839,859.28595
2192.0789,21.289387,93.58268,807.3563
2230.2864,32.80856,74.20155,543.3016
2297.2656,36.39608,69.2641,568.7176
2168.1072,19.572737,102.29799,868.5509
2218.035,23.917076,97.68125,551.6769
2171.6968,18.788279,118.17408,871.6898
2219.136,22.599955,98.42701,863.6232
2076.5427,12.414824,167.91942,504.29037
2139.004,22.144194,93.27527,715.3332
2092.6006,12.41353,152.37558,954.0594
2286.6816,26.21924,89.93758,884.9777
2359.0596,40.69191,58.032154,680.8756
2217.3767,22.929918,93.67452,824.7145
2371.9897,57.85154,33.440323,805.8423
2132.586,17.28115,131.05846,832.1571
2205.5408,19.836948,110.41348,880.63947
2280.843,28.633572,82.89738,854.8866
2177.1904,18.973333,111.00132,684.98773
2436.1516,41.325935,60.213554,821.25116
2248.6487,36.51189,62.439854,540.60345
2181.466,18.956896,112.249596,866.52814
2174.7573,23.013311,90.536194,740.01013
2209.9841,20.624481,103.974045,852.6748
2183.31,20.897202,112.33116,870.3411
2209.6746,22.117348,89.66459,845.07776
2218.1116,22.601595,93.823586,858.9917
2093.513,15.271001,142.18849,494.61563
2166.5542,17.03476,120.950645,883.9767
2195.5754,20.853195,103.082634,856.69385
2247.8154,19.369217,104.70249,855.49023
2383.9717,48.099533,46.157326,718.7591
2462.9138,45.97413,51.74731,847.00867
2140.3472,23.651451,93.76027,483.43484
2208.574,17.108282,118.16244,889.6999
2442.3154,20.805082,97.25682,841.61993
2190.7534,20.147293,103.91261,850.2903
2373.4412,48.659344,45.425854,700.62946
2093.7131,14.704731,142.26785,934.515
2195.1035,23.220934,92.25956,784.79803
2210.5967,24.333948,86.80013,834.2393
2156.1545,18.477497,117.83577,879.0103
2142.1426,16.321959,124.385704,904.66455
2423.8801,51.936607,39.24335,851.91327
2369.4583,44.938797,51.747772,689.3562
2207.396,20.878939,104.93704,857.576
2346.7434,28.327814,92.54582,884.01917
2206.3303,20.999784,91.84232,855.134
2274.8306,35.009907,67.80425,732.1351
2248.1987,22.357153,102.75676,888.9231
2024.1981,11.320209,188.39279,511.87494
2190.8838,19.820606,112.03645,882.4118
2179.7722,17.760624,116.63707,882.88947
2289.704,43.659557,48.53349,596.33624
2339.0815,27.553738,81.22237,743.5682
2502.135,41.661083,58.503067,862.49945
2028.2161,7.553341,206.3758,533.81433
2212.4624,22.688889,108.54296,558.6887
2317.619,27.673786,97.4017,602.6248
2422.7573,35.334755,72.46279,841.05566
2193.6477,21.505922,92.37717,765.6463
2434.0884,48.343586,52.65975,869.1883
2222.0266,22.185104,96.03824,856.9759
2362.1404,32.36792,78.59775,615.14484
2225.9968,26.28414,88.06055,635.93
2225.1877,28.834412,90.72158,516.5558
2282.1565,29.720354,78.41171,531.9982
2078.4075,13.37059,168.58478,526.50146
2233.6096,24.59996,91.507805,883.1541
2204.5884,22.445944,100.61646,888.744
2211.0703,20.968828,103.53441,861.1077
2265.5515,22.051746,100.89923,876.0531
2519.6772,26.750698,83.44202,850.4272
2311.4373,21.499296,109.522804,892.0304
2198.7258,21.427671,106.716705,854.63934
2051.4077,9.427443,192.61061,516.398
2160.8867,16.320148,127.76753,899.7526
2190.3892,20.412683,107.47731,880.62823
2179.6003,22.252708,97.836395,653.90173
2178.7078,17.644321,119.94767,884.14795
2216.7769,24.487518,87.30478,853.4237
2139.4373,15.947506,139.94493,531.5338
2213.3606,27.722984,87.07493,502.32318
2160.9407,21.050184,114.088905,674.2723
2239.7927,24.422197,87.039955,867.5378
2508.2605,30.97355,82.77571,862.4999
2302.3284,47.084183,49.462048,630.26874
2129.862,15.484973,137.51111,921.3897
2445.2832,31.435291,81.766235,881.01245
2328.1553,23.507248,95.59432,870.6181
2138.5999,16.121643,131.79808,921.7129
2347.98,53.432003,40.64767,714.98883
2343.5361,45.82336,51.238922,686.00867
2382.015,53.381,44.046047,830.50977
2303.6157,41.795773,55.020977,606.4876
2057.487,12.745714,173.26523,521.0552
2396.2249,51.60687,40.982437,794.8619
2112.819,14.290893,147.03415,937.77704
2229.7246,28.75489,78.04495,710.52466
2096.9954,18.034254,128.34962,595.8722
2077.808,12.239539,181.51245,522.4771
2167.6648,18.512445,120.15217,875.102
2206.6497,22.717066,94.33617,848.9004
2168.029,17.91499,127.02413,496.90356
2241.8735,31.144247,79.05218,729.836
2233.0872,28.418402,82.82123,730.06525
2356.5176,54.004604,37.642056,700.4206
2126.5342,14.459388,141.14455,924.7767
2456.3909,29.322462,83.84192,846.9122
2133.1843,17.823114,130.40533,681.6341
2128.0974,14.956229,149.70348,536.94446
2382.253,52.843,45.96865,836.764
2191.5,23.28551,90.65891,696.81976
2548.2588,36.89167,67.64602,868.7646
2223.3381,19.784418,106.6779,867.9716
2152.8796,15.75758,131.55363,897.36615
2151.7302,19.378702,133.87244,602.6697
2047.841,11.7926,171.06078,986.4306
2551.8389,34.68472,73.292595,866.9589
2263.1118,23.57994,91.65716,871.9479
2304.7996,31.792503,82.3284,876.88525
2215.0034,22.313465,93.95988,861.4199
2248.7588,38.100815,65.18648,564.32983
2149.402,22.780998,98.30303,479.153
2113.408,13.035149,147.42473,941.0148
2069.8367,14.12789,140.79236,489.02386
2214.3337,28.87272,78.362015,772.5027
2076.1426,14.167545,150.80644,491.49255
2365.0237,40.577156,62.27463,682.0793
2135.7612,14.167355,134.85585,915.6081
2145.7349,15.890465,129.82533,907.2168
2136.6829,18.319597,124.46265,527.49396
2207.5635,22.588406,93.17931,846.4429
2308.4648,24.573057,90.288506,882.2204
2251.9395,29.643492,82.46671,730.9776
2505.556,39.2957,63.895035,877.9634
2216.8252,25.202227,83.945366,813.87317
2043.6213,10.511969,180.33032,515.2695
2349.3262,46.55426,54.60004,699.39905
2236.4148,21.58022,100.99194,861.8491
2509.5278,42.06638,59.708015,855.42633
2307.733,45.350964,55.111065,646.9568
2148.874,15.361332,125.08682,894.5171
2310.3235,31.891703,78.47164,890.5444
2108.696,19.14909,153.95909,620.1465
2190.8293,19.306517,109.33951,867.508
2613.7122,33.270756,72.18672,860.2794
2157.3325,17.407806,121.838875,893.4198
2218.0146,23.0802,93.03024,831.0412
2129.4963,19.372763,117.12139,484.74548
2218.1682,22.928555,98.44158,865.5749
2100.8376,13.148071,154.82753,959.2138
2136.0186,19.653517,113.12325,634.1039
2433.3257,55.532543,36.385506,852.10876
