SegmentLength,SegmentTime,Speed,AveragePressure
110.06925,-1.0582598,11.574587,52.708363
63.892628,-0.7684952,6.763234,30.802254
85.17543,-0.95753825,9.010558,41.398357
135.1267,-1.457354,14.711748,65.76674
85.192894,-0.9225444,8.948738,41.264828
89.37963,-0.83467776,9.283297,42.84865
80.82571,-0.9651717,8.458163,39.724815
104.84673,-0.87744504,10.667523,50.422455
78.8425,-0.90321416,8.20816,38.241287
82.113945,-0.92530465,8.813222,39.238876
101.93621,-1.2768335,11.135166,49.92171
83.41517,-1.0175309,8.95965,40.206398
130.44563,-1.3598901,13.507038,63.816883
98.58006,-0.99641,10.333574,47.704575
113.357735,-0.9189296,11.874945,54.278233
82.27652,-0.81215423,8.544215,39.433025
88.36725,-1.0926559,9.3765955,42.603477
106.82004,-1.1082219,11.380487,51.28375
71.0949,-0.65830904,7.1798134,34.300274
105.76947,-1.1023155,11.261072,50.84427
91.09612,-0.97381884,9.358844,43.929096
92.98599,-0.977528,9.917626,44.946125
72.6983,-0.8668829,7.612135,34.86341
106.87722,-0.9657845,11.202474,51.922005
48.478542,-0.79709315,5.176985,23.84365
85.86153,-0.79965794,8.992059,41.16405
88.501045,-0.9913565,9.485912,42.916077
81.13344,-0.94971025,8.448237,39.54746
79.23612,-0.9786798,8.300258,38.787426
56.133034,-0.65223676,5.974072,27.180428
87.02342,-0.8791493,9.067553,42.45244
54.856033,-0.58736503,5.7223806,26.583954
84.5858,-0.95040756,9.033671,41.10713
85.04867,-0.9893874,9.136429,40.941017
60.81887,-0.64279056,6.2758884,29.301193
108.22339,-0.9144112,11.348797,51.749165
83.28044,-1.0051384,8.7736025,40.358715
79.21376,-0.9403186,8.233786,38.53926
81.40627,-1.0393611,8.789178,39.82017
88.372604,-0.8262059,9.091914,42.970444
86.72176,-0.901073,8.939014,41.783386
112.141,-1.1549243,12.190488,53.95401
61.089962,-0.6919226,6.4412217,29.63794
79.41859,-1.0624999,8.706958,38.72171
99.50115,-1.1130052,10.602523,48.22726
108.84099,-0.96861076,11.231459,52.524776
131.19156,-1.3004984,13.845829,62.991215
108.58227,-0.95761555,11.355411,52.295628
59.899933,-0.70915383,6.208726,28.991728
158.98279,-1.5502694,16.771206,76.66852
80.84634,-0.9569066,8.585883,39.50847
78.576256,-0.9844253,8.546872,37.920845
139.67906,-1.3904876,14.804399,66.85432
147.2765,-1.673626,15.697896,70.86029
111.996864,-1.2768191,12.088267,54.288147
91.13326,-0.74442756,9.456973,43.993027
64.55522,-0.67903435,6.749891,31.135641
69.18635,-0.86472,7.291678,33.59698
96.63672,-0.9431471,9.99783,46.793922
79.63374,-1.0027642,8.501855,38.815643
151.10059,-1.3432288,15.734907,72.526985
91.54584,-1.0532159,9.706968,44.26087
79.19467,-0.90912825,8.246353,38.778263
92.06177,-1.1817563,10.018959,45.248722
118.93696,-0.9643341,12.507935,57.254555
75.4594,-0.7209885,7.7582865,36.128857
61.776585,-0.7545917,6.614726,30.231852
92.96105,-0.7578425,9.666098,44.554558
85.91946,-0.8981304,9.074205,41.65801
102.74265,-1.1304156,10.839499,49.217834
76.438705,-0.9591836,8.100491,37.259003
94.212494,-0.867767,9.748941,45.63091
59.672337,-0.7431497,6.3710074,29.334375
54.739758,-0.86064196,6.0812855,26.720133
73.358696,-0.8730838,7.809495,35.284634
83.5626,-0.90585077,8.725926,40.750233
87.016945,-0.8296645,8.938828,42.01646
75.27565,-0.88524544,8.181996,36.164677
93.79317,-1.04137,9.864416,45.185844
56.415558,-0.6397467,6.060436,27.510452
47.867504,-0.55494976,5.101855,23.044888
79.08039,-0.96820503,8.444304,38.183327
116.47747,-1.481821,12.735383,56.377365
100.07927,-0.7969322,10.139605,47.72959
89.424,-0.8699055,9.275344,42.913017
101.70589,-0.8309912,10.413571,48.730934
84.281746,-0.72238606,8.56692,40.30534
106.20259,-1.0815681,11.322541,51.417587
90.56586,-1.1959164,9.659943,44.479404
100.77845,-1.0265812,10.601403,48.770367
59.922077,-0.7858712,6.408347,28.988802
86.20698,-0.8840029,8.96924,41.95805
90.17359,-0.9064154,9.4304285,43.483376
63.44501,-0.65815187,6.5774684,30.945293
90.39198,-0.98806757,9.733266,43.559807
142.60818,-0.9986434,14.577959,68.55199
88.60833,-0.98223597,9.332592,43.127693
42.20687,-0.50587285,4.3361316,20.347197
102.89215,-0.9553403,10.646939,49.47139
105.962036,-1.0132444,11.143844,51.01931
80.52287,-0.8889833,8.530904,39.12081
76.03883,-1.2028248,8.138735,37.043484
92.476265,-0.9642327,9.60631,44.75406
88.90667,-0.8300577,9.141644,43.206184
68.9421,-0.86647445,7.396096,33.498665
94.596924,-0.94420606,9.896347,45.596977
64.65882,-0.8422093,6.7886596,31.382183
74.85406,-0.8399799,7.7604465,36.32217
98.7476,-0.9747795,10.53864,47.63545
99.99049,-1.322622,10.8792515,48.462067
65.72925,-0.9230928,7.083869,32.443455
88.693,-0.9305257,9.22333,43.06374
