SegmentLength,SegmentTime,Speed,AveragePressure
2053.5696,15.599546,140.42102,644.21735
2272.516,21.752121,116.72542,574.7997
1540.5387,11.870297,181.441,809.8034
1001.8827,7.3803415,227.52289,994.8852
2415.6606,24.79146,99.797676,848.672
2342.7551,18.572393,114.96937,420.25922
2446.0215,24.42082,76.87755,978.95886
2422.0374,55.068245,36.231575,636.1073
2297.1748,21.585693,108.78237,344.7301
2296.139,18.845335,123.85841,686.75006
2444.2573,36.24384,77.87682,553.2443
2708.6748,7.24557,296.18857,492.132
2178.3433,22.743212,95.26803,385.90778
2368.2341,25.409086,99.45231,806.7159
2434.7126,31.76335,71.35223,527.3265
2374.456,23.398754,104.62439,435.87598
2612.3835,49.232502,66.39588,499.8559
2319.7139,17.309313,117.206635,431.01843
2395.2324,59.18977,49.242638,636.6165
2235.7576,18.404799,121.409836,761.9772
2133.7712,20.313862,110.684975,520.1891
2394.1128,25.499678,105.34391,521.3822
2059.6687,15.107127,138.70828,638.9503
2422.545,34.644135,74.74019,596.7676
2178.5713,18.415346,127.462845,564.80206
2438.6516,45.33611,55.520767,770.307
2253.4075,16.627047,136.70123,593.1816
2273.104,17.447283,120.436485,613.9
2316.1824,20.948112,110.37708,437.70676
2188.6455,19.42382,124.208084,606.7884
2204.1062,18.065844,131.37392,596.41077
2352.494,62.56717,24.53112,627.71136
2589.289,32.586567,63.45001,517.8081
2206.0967,21.062313,96.55082,487.03195
2475.0398,37.672577,58.536842,578.3024
2352.577,55.082027,41.527695,661.88055
2514.6116,31.021805,84.64872,787.3639
1561.344,9.55554,185.93118,803.59406
2393.0703,13.40061,162.06934,540.82214
2384.3408,43.922188,69.818245,636.48975
2268.8599,21.14429,110.18975,688.4841
2156.9172,17.135832,126.82045,589.28455
2411.0623,25.830732,80.43677,552.8589
2276.08,28.224682,86.83091,558.196
2441.8826,44.153343,58.92811,670.61487
2330.4417,65.15226,17.98787,669.0906
2149.8286,22.488037,96.432236,493.9563
2537.3203,28.698658,81.48251,539.6457
2157.3093,18.01803,113.45366,571.2252
2298.4421,27.313404,79.504944,582.0346
2374.366,59.760815,36.57338,673.72754
2371.8533,21.811,108.63054,666.62726
2496.1343,27.51244,108.69524,716.1637
2226.197,23.33725,101.04457,363.31363
2219.3308,21.636932,112.50577,465.41772
