X;Y;Z;Pressure;GripAngle;Timestamp;TimeIndex
244.08054;232.27637;-0.74390715;731.96173;1269.2062;2186455000.0;0.21847408
210.25705;245.71819;2.9509134;716.6547;869.8087;2186455000.0;0.1374088
216.79466;234.43564;1.4493006;765.93054;891.979;2186455000.0;0.12942393
205.64717;201.6788;0.6652401;730.46216;836.2185;2186455000.0;0.11839995
207.4511;194.86235;0.47814628;735.31866;876.7735;2186455000.0;0.11923322
211.1915;194.33699;0.3229973;748.34845;897.0483;2186455000.0;0.12033154
214.42026;194.50319;0.20249867;757.2903;903.3796;2186455000.0;0.12109426
216.95523;194.60086;0.12448771;762.9866;905.0025;2186455000.0;0.12167238
218.98686;194.57309;0.07711132;766.86383;905.1241;2186455000.0;0.1220659
220.67111;194.46019;0.049195923;769.6448;904.7038;2186455000.0;0.122329794
222.09578;194.30765;0.03322697;771.7298;904.1147;2186455000.0;0.12253581
223.30779;194.14262;0.02438936;773.3478;903.4963;2186455000.0;0.12271506
224.3377;193.97949;0.01975895;774.6329;902.9016;2186455000.0;0.122876704
225.21022;193.8257;0.017603751;775.6729;902.35333;2186455000.0;0.123023085
225.94725;193.6848;0.016887331;776.5241;901.85956;2186455000.0;0.12315518
226.56828;193.55812;0.016994976;777.22955;901.42017;2186455000.0;0.123273276
227.09056;193.44568;0.017551325;777.81744;901.0331;2186455000.0;0.12337871
227.52928;193.34657;0.018333428;778.31055;900.694;2186455000.0;0.12347298
227.89738;193.25978;0.019198377;778.7258;900.39886;2186455000.0;0.12355712
228.20607;193.18396;0.02007748;779.0769;900.1419;2186455000.0;0.12363234
228.46458;193.11795;0.020919535;779.37506;899.9188;2186455000.0;0.123699665
228.681;193.06049;0.021697592;779.6278;899.7255;2186455000.0;0.12375985
228.86205;193.0106;0.022408865;779.8439;899.5578;2186455000.0;0.123814076
229.01334;192.96721;0.023043368;780.02783;899.41266;2186455000.0;0.123862855
229.13971;192.92935;0.023608215;780.18567;899.2865;2186455000.0;0.12390673
229.2452;192.89648;0.024102554;780.3204;899.17725;2186455000.0;0.12394613
229.33307;192.86786;0.024541415;780.4359;899.0822;2186455000.0;0.12398175
229.40631;192.84299;0.0249206;780.53516;899.00024;2186455000.0;0.1240139
229.46722;192.82135;0.025248498;780.62067;898.9284;2186455000.0;0.124042764
229.51787;192.8024;0.025536686;780.694;898.8661;2186455000.0;0.1240689
229.55989;192.7859;0.025789425;780.7575;898.81226;2186455000.0;0.12409252
229.59465;192.77153;0.025999593;780.8121;898.7654;2186455000.0;0.124113835
229.6234;192.75899;0.026187848;780.8595;898.72406;2186455000.0;0.12413289
229.64711;192.74805;0.026348557;780.89984;898.6882;2186455000.0;0.12415039
229.66667;192.73842;0.026487125;780.935;898.6571;2186455000.0;0.12416599
229.68272;192.73006;0.026606599;780.9657;898.62946;2186455000.0;0.12417988
229.6959;192.72272;0.026714366;780.9921;898.6057;2186455000.0;0.124192655
229.70662;192.71625;0.026802529;781.0152;898.5846;2186455000.0;0.12420398
229.71538;192.71063;0.026877848;781.035;898.5662;2186455000.0;0.124214225
229.72247;192.70561;0.026948929;781.05237;898.55;2186455000.0;0.124223396
229.72818;192.70139;0.027004696;781.06757;898.536;2186455000.0;0.12423178
229.73273;192.69757;0.027055873;781.0803;898.52325;2186455000.0;0.1242391
229.73639;192.69429;0.02710078;781.0919;898.5126;2186455000.0;0.12424598
229.73927;192.69135;0.027140465;781.10187;898.50275;2186455000.0;0.12425204
229.74155;192.6888;0.027171714;781.1103;898.49414;2186455000.0;0.124257505
229.74327;192.68654;0.027204342;781.1176;898.48663;2186455000.0;0.124262355
229.74469;192.6846;0.027224356;781.1245;898.4802;2186455000.0;0.12426681
229.74565;192.6828;0.02725242;781.1304;898.4744;2186455000.0;0.12427075
229.74634;192.68137;0.027269104;781.13525;898.4693;2186455000.0;0.12427418
229.74687;192.68;0.02728586;781.1398;898.4646;2186455000.0;0.12427742
