25%_GripAngle,25%_Pressure,25%_TestID,25%_Timestamp,25%_X,25%_Y,25%_Z,50%_GripAngle,50%_Pressure,50%_TestID,50%_Timestamp,50%_X,50%_Y,50%_Z,75%_GripAngle,75%_Pressure,75%_TestID,75%_Timestamp,75%_X,75%_Y,75%_Z,max_GripAngle,max_Pressure,max_TestID,max_Timestamp,max_X,max_Y,max_Z,mean_GripAngle,mean_Pressure,mean_TestID,mean_Timestamp,mean_X,mean_Y,mean_Z,min_GripAngle,min_Pressure,min_TestID,min_Timestamp,min_X,min_Y,min_Z,std_GripAngle,std_Pressure,std_TestID,std_Timestamp,std_X,std_Y,std_Z,Group,count
1280.0,660.25,0.0,4143758.25,212.5,167.25,0.0,1330.0,724.0,0.0,4145435.5,275.0,206.0,0.0,1390.0,763.0,0.0,4147112.75,363.0,278.5,0.0,1540.0,846.0,0.0,4148791.0,542.0,374.0,24.0,1329.8257372654157,696.4879356568365,0.0,4145435.477211796,289.76005361930294,218.06836461126005,0.900804289544236,1160.0,8.0,0.0,4142080.0,64.0,57.0,0.0,73.12100246258636,115.33826755088208,1e-08,1940.952197687565,119.25178399519812,81.29912877848507,3.2840185559372075,Parkinsonian,746.0
1320.0,756.0,0.0,12262993.75,147.75,171.0,0.0,1380.0,875.0,0.0,12264955.5,208.0,206.0,0.0,1420.0,892.0,0.0,12266916.25,275.25,274.25,0.0,1550.0,937.0,0.0,12268878.0,391.0,348.0,12.0,1369.598623853211,800.322247706422,0.0,12264946.65940367,212.28899082568807,220.55045871559636,0.8944954128440367,1150.0,15.0,0.0,12260295.0,46.0,103.0,0.0,82.20385401328079,150.05049455647008,1e-08,2284.3716488128603,88.07185234805888,67.06332819289754,3.1536055537270173,Parkinsonian,746.0
1410.0,939.5,0.0,1353926.5,158.0,158.5,0.0,1520.0,973.0,0.0,1356138.0,217.0,209.0,0.0,1610.0,1003.0,0.0,1358349.5,267.0,263.0,0.0,1770.0,1023.0,0.0,1360561.0,415.0,340.0,12.0,1508.7792472024414,925.3865717192268,0.0,1356138.089521872,222.8199389623601,210.45167853509665,0.2319430315361139,1150.0,15.0,0.0,1351716.0,64.0,86.0,0.0,140.42898741266478,145.57818953950311,1e-08,2557.173252818594,83.37233450058679,65.73685006870666,1.652966533017775,Parkinsonian,746.0
1180.0,606.0,0.0,13121181.75,142.0,179.0,0.0,1230.0,627.0,0.0,13125016.5,211.0,214.0,0.0,1310.0,651.0,0.0,13128851.25,311.0,293.25,0.0,1500.0,681.0,0.0,13132686.0,402.0,405.0,80.0,1244.5070422535211,615.081572769953,0.0,13125015.330985917,222.82570422535213,228.2153755868545,1.1619718309859155,1060.0,29.0,0.0,13116870.0,27.0,61.0,0.0,86.86010348884763,66.87161633955282,1e-08,4433.358828103384,107.40319552406967,88.46390546581164,4.145567341354869,Parkinsonian,746.0
1160.0,599.0,0.0,9528229.25,120.0,149.0,0.0,1240.0,662.0,0.0,9532302.5,195.0,215.0,0.0,1340.0,682.0,0.0,9536375.75,268.0,291.0,0.0,1680.0,731.0,0.0,9540449.0,408.0,387.0,44.0,1263.232044198895,606.3044198895028,0.0,9532302.559668507,197.4160220994475,218.6314917127072,0.594475138121547,1030.0,15.0,0.0,9524156.0,17.0,47.0,0.0,131.94507907628417,125.8693753411798,1e-08,4707.470170989404,101.7111360085398,92.93734167489768,3.2862634139322324,Parkinsonian,746.0
1010.0,386.0,0.0,10616653.5,190.0,164.5,0.0,1060.0,444.0,0.0,10621197.0,280.0,242.0,0.0,1120.0,460.0,0.0,10625741.5,391.5,324.0,0.0,1450.0,509.0,0.0,10630285.0,542.0,391.0,28.0,1089.38583457157,414.15849430411095,0.0,10621197.183754334,287.09410599306585,242.81327389796928,1.33531451213472,950.0,6.0,0.0,10612109.0,45.0,63.0,0.0,112.43021937793289,72.25117679304257,1e-08,5250.900041252408,131.19390796280024,99.37184924478775,4.091131848211074,Parkinsonian,746.0
980.0,781.0,0.0,2722440.5,141.0,152.5,0.0,1020.0,833.0,0.0,2727678.0,199.0,208.0,0.0,1090.0,891.0,0.0,2732915.5,283.0,287.5,0.0,1470.0,934.0,0.0,2738153.0,396.0,393.0,12.0,1040.240653201547,810.2763214439192,0.0,2727678.006446068,214.51310700472712,217.6385904598195,0.62913622690159,870.0,24.0,0.0,2717202.0,29.0,51.0,0.0,103.24916067773384,122.6307352028236,1e-08,6051.740580005049,99.83571059576734,88.54352941508354,2.675237918543929,Parkinsonian,746.0
760.0,610.0,0.0,6951885.25,207.0,143.0,0.0,890.0,648.0,0.0,6957210.5,282.0,204.0,0.0,950.0,670.0,0.0,6962535.75,398.0,293.0,0.0,1360.0,712.0,0.0,6967862.0,547.0,390.0,28.0,879.065934065934,607.1635672020287,0.0,6957205.224006763,298.812764158918,216.50338123415045,1.3355874894336432,580.0,4.0,0.0,6945632.0,52.0,56.0,0.0,166.44655252506172,118.1300707483385,1e-08,6162.937362230147,132.6905698912491,92.31253897029217,3.889572090868069,Parkinsonian,746.0
1010.0,603.0,0.0,7198649.25,144.0,151.0,0.0,1050.0,644.5,0.0,7204064.5,206.0,214.0,0.0,1130.0,717.0,0.0,7209479.75,276.0,282.0,0.0,1450.0,776.0,0.0,7214895.0,402.0,385.0,28.0,1081.1886949293432,631.9617622610141,0.0,7204061.322527016,212.6995012468828,217.9472152950956,0.7963424771404821,920.0,8.0,0.0,7192634.0,20.0,48.0,0.0,103.8938374119647,116.9087539465098,1e-08,6262.741843989498,96.24779985476098,88.31760465285794,3.0818500136731517,Parkinsonian,746.0
1100.0,610.0,0.0,3026994.0,142.0,157.0,0.0,1220.0,695.0,0.0,3032948.0,216.0,234.0,0.0,1350.0,753.0,0.0,3038902.0,295.0,312.0,0.0,1730.0,851.0,0.0,3044855.0,429.0,390.0,28.0,1236.3629489603024,646.6521739130435,0.0,3032948.006427221,221.94858223062383,233.60340264650284,0.4839319470699433,910.0,9.0,0.0,3021041.0,42.0,56.0,0.0,179.25844429793958,166.82721138016893,1e-08,6878.557710438182,103.43291182845476,94.0928199333063,2.4541612371888712,Parkinsonian,746.0
