Label,Smoothness,Average Amplitude,Irregularities,Peak Count,Trough Count,Zero Crossings,Wave Energy,Signal Entropy,Skewness,Kurtosis,Dominant Frequency,Image
Healthy,0.03782534546197806,0.04324755131631314,245,0,0,1,2441.51226695508,2.233998618675115,0.07946201185684224,-0.9327277552827473,1,Healthysynth1
Healthy,0.0596805897194272,0.04823000051079914,241,0,0,1,1189.2197226585222,2.3013141396479404,-0.33349770617867336,-1.3189138302679675,1,Healthysynth2
Healthy,0.029041067412300225,0.02370626578608155,181,0,0,1,2704.726702957989,2.296786985797954,-0.16891540693132268,-1.1727726141183648,1,Healthysynth3
Healthy,0.03538092626730224,0.017474265253775156,253,0,0,1,1395.630312575378,2.2979714486251424,-0.20179214972318485,-1.1701194899877687,1,Healthysynth4
Healthy,0.017961848673290922,0.0070969437740447,151,0,0,1,3688.921604668953,2.2987070266657272,-0.06201014043575126,-1.2352287904245531,1,Healthysynth5
Healthy,0.03860395431495072,0.022685204957295892,272,0,0,1,2252.5592093221326,2.2751491628885083,0.028344145034062254,-1.0857667579656198,1,Healthysynth6
Healthy,0.034321910099601824,0.020503911142204272,163,0,0,1,1719.3347087439424,2.2633958111067103,-0.2357672487921662,-1.0570902650525111,1,Healthysynth7
Healthy,0.055342005771517,0.056744637376988885,279,0,0,1,1189.2197226585222,2.266835201498779,-0.06972884234599168,-1.3189138302679675,1,Healthysynth8
Healthy,0.023592830146396668,0.04071897979457327,353,0,0,1,2437.6479599852255,2.2988659528379896,0.07615804345841404,-1.2076992286499293,1,Healthysynth9
Healthy,0.0596805897194272,0.03966780346468839,205,0,0,1,1189.2197226585222,2.288530168454956,-0.27515684548490255,-1.3126415173963273,1,Healthysynth10
Healthy,0.04036579795632442,0.015285573399220757,193,0,0,1,3273.1749563646854,2.2795416310116097,-0.015235545110848816,-1.1262882800670457,1,Healthysynth11
Healthy,0.012983963566302782,0.015431652017406853,218,0,0,1,2899.261741036881,2.288290040326453,0.02030886026148972,-1.2143994646349234,1,Healthysynth12
Healthy,0.029228411474759814,0.02518833526315444,223,0,0,1,1761.5310726774994,2.287915037463622,0.16152955790540896,-1.0052126054629325,1,Healthysynth13
Healthy,0.03659197512187377,0.03222456830271549,192,0,0,1,1983.9023688716002,2.3013141396479404,0.0895154616739067,-1.1663679278511703,1,Healthysynth14
Healthy,0.05072875064916544,0.04090362048298457,187,0,0,1,2074.2260028454616,2.265598371729095,0.10433036982644223,-1.2472964190022284,1,Healthysynth15
Healthy,0.017772669329580604,0.03600127150805045,298,0,0,1,3750.543962742389,2.286164626692943,-0.017221727615381564,-1.2460266089009173,1,Healthysynth16
Healthy,0.024002153606485548,0.026110545666790098,156,0,0,1,3658.157194982459,2.3013141396479404,-0.10308812529412954,-1.2220549023678942,1,Healthysynth17
Healthy,0.05020845183679822,0.04055448993708371,267,0,0,1,2162.6801441378907,2.2658141047850453,-0.00022436021744403484,-1.0604032746500418,1,Healthysynth18
Healthy,0.020766417277576832,0.0070969437740447,176,0,0,1,3455.3014087905867,2.2844494935992317,-0.12303813166180395,-1.2651813667164442,1,Healthysynth19
Healthy,0.0070465771631128,0.026805543146808376,268,0,0,1,4299.8866608409935,2.283009259004238,-0.005037067786261638,-1.2029640257286047,1,Healthysynth20
Healthy,0.0596805897194272,0.03902510935960936,166,0,0,1,1949.2335591301612,2.296884888905549,0.16088926508326365,-1.268231757278129,1,Healthysynth21
Healthy,0.05537450440670043,0.059872053823148766,328,0,0,1,2322.2910426445333,2.2718506962752416,0.13268669535745115,-1.1501278506623593,1,Healthysynth22
Healthy,0.016923412559481953,0.030856714132886973,510,0,0,1,9848.34511145178,2.249673921633337,0.18957536638823022,-1.1389696835601635,1,Healthysynth23
Healthy,0.036607419209885424,0.032594838714346916,221,0,0,1,2611.3386835707247,2.3013141396479404,-0.09629538044192909,-1.2416896866531468,1,Healthysynth24
Healthy,0.03632983680190426,0.04473655859704559,502,0,0,1,1733.5476488323607,2.2482734136508786,0.18949487249040786,-1.306358977583512,1,Healthysynth25
Healthy,0.05031524766283512,0.04749448741108103,229,0,0,1,2852.945862614471,2.2970454525665924,-0.02250770276179524,-1.1588007909258609,1,Healthysynth26
Healthy,0.022988626091441366,0.021812916465644688,300,0,0,1,4079.6918901568342,2.291650306593379,-0.07905489144035341,-1.146261005648701,1,Healthysynth27
Healthy,0.03645367760136842,0.02963023407620356,309,0,0,1,5141.901770312642,2.293539891708585,-0.09640904756913657,-1.2561852399695494,1,Healthysynth28
Healthy,0.023528976948833914,0.018434889200464433,173,0,0,1,2617.2441619914916,2.3000919626152454,0.023723735689857268,-1.188401205061384,1,Healthysynth29
Healthy,0.04791596219822289,0.013389332193079473,210,0,0,1,3634.780963168844,2.2929022401774515,0.13270175743542137,-1.1463085113705291,1,Healthysynth30
Healthy,0.012857455519607269,0.018649588823421097,205,0,0,1,3269.7046975429575,2.2880496738516487,-0.2392544338432372,-1.11030886587504,1,Healthysynth31
Healthy,0.025835951523564576,0.05256534679176654,372,0,0,1,1936.50697623331,2.2769592701712082,0.29018265777699825,-1.0559525586907361,1,Healthysynth32
Healthy,0.04373537701789132,0.040590941970615385,293,0,0,1,3910.5016953868508,2.290216940823225,0.001811208346997415,-1.2012939118351704,1,Healthysynth33
Healthy,0.04893594800109176,0.03873432183009724,176,0,0,1,1436.867750864399,2.27942795889988,-0.3883133827206303,-1.3189138302679675,1,Healthysynth34
