Label,Smoothness,Average Amplitude,Irregularities,Peak Count,Trough Count,Zero Crossings,Wave Energy,Signal Entropy,Skewness,Kurtosis,Dominant Frequency,Image
Healthy,0.0596805897194272,0.04823000051079914,241,0,0,1,1189.2197226585222,2.3013141396479404,-0.33349770617867336,-1.3189138302679675,1,Healthysynth2
Healthy,0.029041067412300225,0.02370626578608155,181,0,0,1,2704.726702957989,2.296786985797954,-0.16891540693132268,-1.1727726141183648,1,Healthysynth3
Healthy,0.03538092626730224,0.017474265253775156,253,0,0,1,1395.630312575378,2.2979714486251424,-0.20179214972318485,-1.1701194899877687,1,Healthysynth4
Healthy,0.017961848673290922,0.0070969437740447,151,0,0,1,3688.921604668953,2.2987070266657272,-0.06201014043575126,-1.2352287904245531,1,Healthysynth5
Healthy,0.03860395431495072,0.022685204957295892,272,0,0,1,2252.5592093221326,2.2751491628885083,0.028344145034062254,-1.0857667579656198,1,Healthysynth6
Healthy,0.055342005771517,0.056744637376988885,279,0,0,1,1189.2197226585222,2.266835201498779,-0.06972884234599168,-1.3189138302679675,1,Healthysynth8
Healthy,0.023592830146396668,0.04071897979457327,353,0,0,1,2437.6479599852255,2.2988659528379896,0.07615804345841404,-1.2076992286499293,1,Healthysynth9
Healthy,0.0596805897194272,0.03966780346468839,205,0,0,1,1189.2197226585222,2.288530168454956,-0.27515684548490255,-1.3126415173963273,1,Healthysynth10
Healthy,0.04036579795632442,0.015285573399220757,193,0,0,1,3273.1749563646854,2.2795416310116097,-0.015235545110848816,-1.1262882800670457,1,Healthysynth11
Healthy,0.012983963566302782,0.015431652017406853,218,0,0,1,2899.261741036881,2.288290040326453,0.02030886026148972,-1.2143994646349234,1,Healthysynth12
Healthy,0.03659197512187377,0.03222456830271549,192,0,0,1,1983.9023688716002,2.3013141396479404,0.0895154616739067,-1.1663679278511703,1,Healthysynth14
Healthy,0.05072875064916544,0.04090362048298457,187,0,0,1,2074.2260028454616,2.265598371729095,0.10433036982644223,-1.2472964190022284,1,Healthysynth15
Healthy,0.017772669329580604,0.03600127150805045,298,0,0,1,3750.543962742389,2.286164626692943,-0.017221727615381564,-1.2460266089009173,1,Healthysynth16
Healthy,0.024002153606485548,0.026110545666790098,156,0,0,1,3658.157194982459,2.3013141396479404,-0.10308812529412954,-1.2220549023678942,1,Healthysynth17
Healthy,0.020766417277576832,0.0070969437740447,176,0,0,1,3455.3014087905867,2.2844494935992317,-0.12303813166180395,-1.2651813667164442,1,Healthysynth19
Healthy,0.0070465771631128,0.026805543146808376,268,0,0,1,4299.8866608409935,2.283009259004238,-0.005037067786261638,-1.2029640257286047,1,Healthysynth20
Healthy,0.0596805897194272,0.03902510935960936,166,0,0,1,1949.2335591301612,2.296884888905549,0.16088926508326365,-1.268231757278129,1,Healthysynth21
Healthy,0.05537450440670043,0.059872053823148766,328,0,0,1,2322.2910426445333,2.2718506962752416,0.13268669535745115,-1.1501278506623593,1,Healthysynth22
Healthy,0.036607419209885424,0.032594838714346916,221,0,0,1,2611.3386835707247,2.3013141396479404,-0.09629538044192909,-1.2416896866531468,1,Healthysynth24
Healthy,0.05031524766283512,0.04749448741108103,229,0,0,1,2852.945862614471,2.2970454525665924,-0.02250770276179524,-1.1588007909258609,1,Healthysynth26
Healthy,0.022988626091441366,0.021812916465644688,300,0,0,1,4079.6918901568342,2.291650306593379,-0.07905489144035341,-1.146261005648701,1,Healthysynth27
Healthy,0.03645367760136842,0.02963023407620356,309,0,0,1,5141.901770312642,2.293539891708585,-0.09640904756913657,-1.2561852399695494,1,Healthysynth28
Healthy,0.023528976948833914,0.018434889200464433,173,0,0,1,2617.2441619914916,2.3000919626152454,0.023723735689857268,-1.188401205061384,1,Healthysynth29
Healthy,0.04791596219822289,0.013389332193079473,210,0,0,1,3634.780963168844,2.2929022401774515,0.13270175743542137,-1.1463085113705291,1,Healthysynth30
Healthy,0.012857455519607269,0.018649588823421097,205,0,0,1,3269.7046975429575,2.2880496738516487,-0.2392544338432372,-1.11030886587504,1,Healthysynth31
Healthy,0.04373537701789132,0.040590941970615385,293,0,0,1,3910.5016953868508,2.290216940823225,0.001811208346997415,-1.2012939118351704,1,Healthysynth33
Healthy,0.04893594800109176,0.03873432183009724,176,0,0,1,1436.867750864399,2.27942795889988,-0.3883133827206303,-1.3189138302679675,1,Healthysynth34
Healthy,0.031144284390732864,0.024632455330534753,226,0,0,1,3225.147218148102,2.2889136918574584,-0.11177694065775344,-1.091944632249089,1,Healthysynth35
Healthy,0.03079194936767437,0.036742396664608865,227,0,0,1,4148.034263188253,2.2995481265606497,0.09348746544442962,-1.238798301404963,1,Healthysynth36
Healthy,0.056766100117393165,0.0494691319747016,219,0,0,1,1532.5753506982242,2.2481820839653848,-0.14867777568095278,-1.1672773330636956,1,Healthysynth37
Healthy,0.0483387716267232,0.04790594922790565,224,0,0,1,1523.3664207438337,2.260096431200462,0.02983555978579431,-1.0217397132694697,1,Healthysynth38
Healthy,0.0596805897194272,0.04605121740548751,167,0,0,1,1189.2197226585222,2.276224744252428,-0.2618113260524851,-1.2389364637674807,1,Healthysynth39
Healthy,0.02831896152805176,0.0070969437740447,158,0,0,1,3419.6696205749204,2.298662867042684,-0.25482030891512786,-1.3189138302679675,1,Healthysynth40
Healthy,0.037057356319669076,0.01277483912224123,253,0,0,1,4260.075904769966,2.3013141396479404,-0.08060238033436931,-1.1793150978354434,1,Healthysynth41
Healthy,0.0596805897194272,0.043955674398680145,207,0,0,1,1431.6703693816362,2.2718809904588295,-0.26409799072085177,-1.3127772112322094,1,Healthysynth42
Healthy,0.0596805897194272,0.03832622116788194,237,0,0,1,1189.2197226585222,2.2825692035089267,-0.10580928754989942,-1.1033311943280246,1,Healthysynth43
Healthy,0.026831140667683162,0.029025325238216666,275,0,0,1,2166.8474971572873,2.2932794380261914,-0.01646755062354085,-1.2898214804996568,1,Healthysynth44
Healthy,0.016298798630924816,0.01916634368825687,217,0,0,1,1840.1277477048432,2.3013141396479404,-0.014162498908363165,-1.150717722542594,1,Healthysynth46
Healthy,0.03756575884359116,0.03420127873196121,250,0,0,1,1984.5316076641527,2.288141408766935,0.21824829958929298,-1.3012861982784178,1,Healthysynth47
Healthy,0.026518433731888818,0.04042171565097839,483,0,0,1,2067.2472237802967,2.298274196834705,-0.2072528511887464,-1.3189138302679675,1,Healthysynth49
Healthy,0.009994332119801759,0.03256230065079763,273,0,0,1,4820.956532415376,2.296331496558755,-0.05415377671965812,-1.3189138302679675,1,Healthysynth50
Healthy,0.03067934851853516,0.05085189206067886,242,0,0,1,1584.2073356907056,2.2867056675881714,0.10685211427432467,-1.009079369981157,1,Healthysynth51
Healthy,0.024868196882048135,0.03250155007352299,269,0,0,1,3691.8220068362352,2.2953539029338006,0.07914194021127663,-1.1776471922000757,1,Healthysynth53
Healthy,0.0295863851682615,0.03346505780153333,249,0,0,1,2597.9067095271557,2.3013141396479404,0.010716926717363018,-1.2266967091206002,1,Healthysynth54
Healthy,0.015311216737494521,0.0070969437740447,202,0,0,1,3766.5800721043524,2.2981828052134277,-0.020038085182755804,-1.139272372719842,1,Healthysynth55
Healthy,0.05551180540670378,0.05723484935571983,211,0,0,1,2980.3176045091323,2.2452013820634695,0.13024259947020392,-0.9544129675541717,1,Healthysynth57
Healthy,0.05789332634928784,0.04498407985235902,259,0,0,1,1897.7237604762163,2.2826362578410015,-0.24158503870994452,-1.1936976221469318,1,Healthysynth60
Healthy,0.04391418053425161,0.03641396499903341,180,0,0,1,1617.21674653008,2.294333945537829,-0.28534343547681124,-1.2717912975574763,1,Healthysynth62
Healthy,0.0596805897194272,0.05568013414851053,280,0,0,1,1189.2197226585222,2.2644443896591966,-0.2104863832709025,-1.1979257360336983,1,Healthysynth63
Healthy,0.0596805897194272,0.06341611583866452,296,0,0,1,1189.2197226585222,2.2923557484930477,0.006895098266469356,-1.3189138302679675,1,Healthysynth64
Healthy,0.04727791928386021,0.026926169093794115,193,0,0,1,1883.9168084761338,2.283535212482337,-0.32512378892430127,-1.1401336876963009,1,Healthysynth65
Healthy,0.017439643070486816,0.034129234638024454,278,0,0,1,4250.028722487789,2.292711576920857,-0.14058354498899922,-1.1996932279365415,1,Healthysynth67
Healthy,0.02623848130433864,0.022775837768198266,190,0,0,1,2328.938406904601,2.2828597760212737,-0.0011412280788500179,-1.2422436454956065,1,Healthysynth68
Healthy,0.039292300732552056,0.02743403987086164,177,0,0,1,3094.577895944145,2.2830159728318526,-0.07860079503355268,-1.129811015821689,1,Healthysynth69
Healthy,0.037224009591599744,0.01773830346939659,200,0,0,1,2995.46008791231,2.2847826270352196,-0.2506010729825364,-1.1531374515045731,1,Healthysynth72
Healthy,0.03310383969941629,0.044858765608925155,262,0,0,1,2939.6899894183516,2.299946042745803,0.016801594544141193,-1.281150179659823,1,Healthysynth73
Healthy,0.04465098821124713,0.05304097006694646,243,0,0,1,2515.0983638114267,2.256192104200074,-0.11133396006018965,-1.1288904660163586,1,Healthysynth74
Healthy,0.05638178166414673,0.05602565831753622,248,0,0,1,1885.2793946599272,2.2645406693832397,0.07196305081144341,-1.1542823957474346,1,Healthysynth76
Healthy,0.03748242667563801,0.04468224643263578,339,0,0,1,2537.4716415393877,2.290915513316407,0.0664621207074972,-1.1255841422353978,1,Healthysynth77
Healthy,0.041956228643078006,0.03931390418206015,178,0,0,1,1805.2652330000928,2.2798248300158437,-0.13446206487958176,-1.1823880083363152,1,Healthysynth78
Healthy,0.032600716511593436,0.02148051435222087,232,0,0,1,2412.869975172839,2.287624828942302,0.3188254598073192,-1.1849563976069657,1,Healthysynth80
Healthy,0.037506697208404695,0.016727484726732477,235,0,0,1,2309.7611739861836,2.281953881515971,-0.03068639582215254,-1.1714030030950882,1,Healthysynth81
Healthy,0.0596805897194272,0.033385446661135555,225,0,0,1,1845.0519822533347,2.2625799374963007,-0.09181363659847593,-1.1904250427226013,1,Healthysynth82
Healthy,0.040343962535882086,0.028753599153331012,207,0,0,1,2645.973172712636,2.2878913050562995,0.22805874633161297,-1.1530748408145988,1,Healthysynth83
Healthy,0.021045962754020684,0.010615953476365476,198,0,0,1,3357.86201569166,2.2828602191447174,-0.21111625923568253,-1.149930879677522,1,Healthysynth84
