Image,Wave Energy Level,Irregularities Level,Signal Entropy Level,Skewness Level,Kurtosis Level,Smoothness Level,Average Amplitude Level
V01HO02.png,Medium,Medium,High,Low,Medium,High,High
V01HO03.png,Medium,High,High,Low,Low,High,High
V02HO02.png,Medium,Low,High,High,Medium,Low,Low
V02HO03.png,Medium,Low,High,Medium,Medium,Low,Low
V03HO02.png,Medium,Low,High,Medium,Low,Medium,Medium
V03HO03.png,Medium,Low,High,Medium,Medium,Low,Medium
V04HO02.png,Low,Low,Medium,Medium,Low,High,High
V04HO03.png,Low,Low,High,Medium,Low,High,High
V05HO02.png,Low,Low,Medium,Medium,Medium,High,Medium
V05HO03.png,Low,Low,Low,High,Medium,High,High
V06HO02.png,Low,Medium,Low,Medium,High,High,High
V06HO03.png,Low,Medium,Medium,Low,Low,High,High
V07HO02.png,Low,High,Low,High,High,High,High
V07HO03.png,Low,Low,High,Low,Low,High,High
V08HO02.png,Low,High,Low,High,Medium,High,High
V08HO03.png,Low,Low,Medium,Low,High,Low,High
V09HO02.png,High,Medium,High,Medium,Low,Low,Low
V09HO03.png,Medium,Low,High,High,Medium,Low,Low
V10HO02.png,Low,Low,High,High,Low,High,High
V10HO03.png,Low,Low,High,Medium,Low,High,High
V11HO02.png,Medium,High,High,Medium,Low,High,Medium
V11HO03.png,Low,High,Medium,High,Low,High,High
V12HO01.png,Medium,Medium,Medium,Low,Medium,High,High
V12HO02.png,High,Medium,High,Medium,Low,Low,Low
V12HO03.png,Medium,Low,Medium,High,Medium,Low,Medium
V55HO01.png,Medium,Low,High,High,Medium,Low,Low
V55HO02.png,Low,Low,Medium,Low,High,Low,High
V55HO03.png,High,High,High,Medium,Low,Medium,Medium
V55HO04.png,Low,High,Low,High,High,High,High
V55HO05.png,Low,Medium,Medium,Low,Low,High,High
V55HO06.png,Medium,Medium,Medium,Medium,Medium,Medium,Medium
V55HO07.png,Low,Low,Medium,Medium,Medium,High,Medium
V55HO12.png,High,Medium,High,Medium,Low,Low,Low
V55HO13.png,Low,High,Medium,High,Low,High,High
V55HO14.png,High,Medium,High,Low,Medium,Low,Low
V55HO15.png,Low,Low,High,High,Low,High,High
V01PO02.png,Medium,Low,Low,High,Medium,Low,Medium
V01PO03.png,High,Low,Medium,High,High,Low,Low
V02PO02.png,Low,Low,Medium,Low,High,Medium,Medium
V02PO03.png,Low,Low,Low,High,High,Medium,Medium
V03PO02.png,Low,Medium,Low,Medium,Medium,High,High
V03PO03.png,Low,Medium,Low,Low,High,High,High
V03PO05.png,Medium,Low,Low,High,High,Medium,Medium
V03PO06.png,Low,Low,Low,High,Medium,Medium,Medium
V03PO08.png,High,Medium,Low,Low,High,Low,Low
V03PO09.png,Medium,Medium,Medium,Low,High,High,High
V04PO02.png,Low,High,Low,High,Medium,High,High
V04PO03.png,Medium,Low,Medium,High,Medium,High,High
V05PO02.png,Low,Low,Low,Medium,High,Medium,Medium
V05PO03.png,Low,Low,Medium,Medium,Medium,Medium,Medium
V06PO02.png,High,High,Low,Medium,High,Low,Low
V06PO03.png,High,High,Low,Low,High,Low,Low
V07PO02.png,High,High,High,High,Low,Low,Low
V07PO03.png,High,High,Low,High,High,Medium,Medium
V08PO02.png,Low,Medium,Medium,High,High,High,High
V08PO03.png,High,Low,Medium,High,Medium,Low,Low
V09PO02.png,Medium,Low,Low,Low,High,Low,Low
V09PO03.png,Medium,High,Low,High,High,Low,Low
V10PO02.png,Medium,High,High,High,Medium,Medium,Medium
V10PO03.png,Low,Low,Medium,Medium,High,High,High
V11PO02.png,Low,Medium,Medium,Low,Low,High,High
V11PO03.png,Low,Medium,High,Low,Low,High,High
V12PO01.png,High,High,High,Medium,Low,Low,Low
V12PO02.png,High,High,High,Medium,High,Low,Low
V12PO03.png,High,High,Low,Medium,High,Low,Low
V13PO01.png,Low,Medium,Medium,Low,High,High,High
V13PO02.png,Low,Medium,Medium,High,Medium,High,High
V13PO03.png,Low,High,Medium,Medium,Low,High,High
V14PO02.png,High,Low,High,Low,High,Low,Low
V15PO01.png,High,Low,Low,Medium,Medium,Low,Low
V15PO02.png,High,High,High,High,Medium,Low,Low
V15PO03.png,Low,High,High,Medium,Low,Low,Low
